ttl,total_len,protocol,t_delta,label
64,78,udp,0.085168,BENIGN
128,77,udp,5.2e-05,BENIGN
54,1210,tcp,0.000217,BENIGN
128,63,udp,3e-06,BENIGN
83,1450,tcp,0.000203,BENIGN
128,85,udp,0.000175,BENIGN
57,1500,tcp,0.000187,BENIGN
128,81,udp,1e-06,BENIGN
64,76,udp,0.008723,BENIGN
57,1500,tcp,0.000167,BENIGN
64,678,tcp,0.006714,BENIGN
64,78,udp,1e-06,BENIGN
128,133,tcp,0.000234,BENIGN
128,66,udp,5e-05,BENIGN
64,78,udp,1e-06,BENIGN
241,1300,tcp,4.9e-05,BENIGN
128,72,udp,0.000221,BENIGN
118,1500,tcp,0.000229,BENIGN
118,2960,tcp,0.000184,BENIGN
128,80,udp,4e-06,BENIGN
128,81,udp,4.4e-05,BENIGN
64,76,udp,3e-06,BENIGN
64,265,udp,8e-06,BENIGN
64,455,tcp,4e-06,BENIGN
64,76,udp,0.011258,BENIGN
64,1500,tcp,2e-06,BENIGN
128,57,udp,4e-06,BENIGN
128,72,udp,0.000224,BENIGN
128,84,udp,0.000133,BENIGN
128,76,udp,4.3e-05,BENIGN
54,1500,tcp,0.000191,BENIGN
128,61,udp,0.00016,BENIGN
52,86,tcp,0.001857,BENIGN
128,76,udp,1e-06,BENIGN
128,83,udp,1.9e-05,BENIGN
45,729,tcp,0.004064,BENIGN
128,74,udp,0.000197,BENIGN
128,85,udp,0.000104,BENIGN
128,83,udp,0.0002,BENIGN
64,76,udp,0.498156,BENIGN
55,2948,tcp,0.000192,BENIGN
128,86,tcp,0.000808,BENIGN
64,178,tcp,5.8e-05,BENIGN
52,1500,tcp,0.001207,BENIGN
118,2960,tcp,5.8e-05,BENIGN
54,1500,tcp,5.2e-05,BENIGN
128,69,udp,4.3e-05,BENIGN
64,76,udp,0.675587,BENIGN
128,86,tcp,0.050354,BENIGN
64,198,tcp,0.000395,BENIGN
118,1500,tcp,0.000205,BENIGN
239,1476,tcp,8e-06,BENIGN
128,81,udp,2.5e-05,BENIGN
240,1266,tcp,0.011497,BENIGN
128,78,udp,1e-06,BENIGN
128,148,tcp,0.002628,BENIGN
128,107,udp,0.000185,BENIGN
64,408,tcp,0.000344,BENIGN
118,2960,tcp,0.000192,BENIGN
128,81,udp,0.000195,BENIGN
52,190,tcp,4.8e-05,BENIGN
238,1500,tcp,0.0,BENIGN
57,1500,tcp,4e-06,BENIGN
53,1500,tcp,0.000218,BENIGN
64,78,udp,2e-06,BENIGN
64,76,udp,1.6e-05,BENIGN
128,76,udp,0.000185,BENIGN
64,455,tcp,6e-06,BENIGN
128,70,udp,0.000115,BENIGN
128,234,tcp,0.000165,BENIGN
64,76,udp,0.020808,BENIGN
128,86,udp,0.000189,BENIGN
64,76,udp,0.100224,BENIGN
64,76,udp,0.192302,BENIGN
128,89,udp,0.000178,BENIGN
128,69,udp,0.000108,BENIGN
64,92,tcp,3e-06,BENIGN
128,81,udp,0.00023,BENIGN
57,1500,tcp,7.6e-05,BENIGN
128,76,udp,0.000143,BENIGN
128,107,udp,0.000155,BENIGN
64,76,udp,0.248815,BENIGN
118,4420,tcp,0.000193,BENIGN
64,90,udp,2e-05,BENIGN
128,75,udp,3.9e-05,BENIGN
118,2960,tcp,0.000305,BENIGN
128,71,udp,0.000201,BENIGN
128,72,udp,0.000148,BENIGN
57,628,tcp,0.00014,BENIGN
128,86,udp,0.000173,BENIGN
64,76,udp,0.009562,BENIGN
128,86,tcp,0.000398,BENIGN
128,77,udp,0.000169,BENIGN
52,1470,tcp,0.000211,BENIGN
52,120,tcp,1e-06,BENIGN
118,1500,tcp,0.000192,BENIGN
118,2960,tcp,0.000192,BENIGN
128,88,udp,4.5e-05,BENIGN
118,1500,tcp,0.000189,BENIGN
64,76,udp,0.00301,BENIGN
128,75,udp,1.7e-05,BENIGN
128,77,udp,0.000175,BENIGN
118,1500,tcp,1e-06,BENIGN
118,1500,tcp,0.000529,BENIGN
128,84,udp,3.7e-05,BENIGN
55,2948,tcp,6.9e-05,BENIGN
64,105,tcp,1.2e-05,BENIGN
128,67,udp,0.000243,BENIGN
128,70,udp,4e-06,BENIGN
57,374,tcp,0.000218,BENIGN
64,90,udp,7e-06,BENIGN
128,971,tcp,0.180767,BENIGN
128,72,udp,0.000365,BENIGN
128,84,udp,5.8e-05,BENIGN
128,2771,tcp,4.9e-05,BENIGN
57,83,tcp,0.007296,BENIGN
64,538,tcp,0.220934,BENIGN
64,76,udp,0.005606,BENIGN
64,78,udp,6e-06,BENIGN
128,86,tcp,0.006205,BENIGN
55,1500,tcp,0.0,BENIGN
64,2875,tcp,4e-06,BENIGN
128,80,udp,0.000382,BENIGN
128,86,udp,0.000176,BENIGN
128,99,udp,0.00014,BENIGN
118,2960,tcp,5.6e-05,BENIGN
128,78,udp,0.000294,BENIGN
128,73,udp,9.3e-05,BENIGN
128,79,udp,0.000149,BENIGN
128,236,tcp,0.000453,BENIGN
64,76,udp,6e-06,BENIGN
128,78,udp,8e-06,BENIGN
54,1500,tcp,0.003981,BENIGN
128,72,udp,4.8e-05,BENIGN
54,1500,tcp,1e-06,BENIGN
128,525,tcp,0.020921,BENIGN
128,78,udp,7e-06,BENIGN
128,75,udp,0.000128,BENIGN
64,261,udp,2e-06,BENIGN
128,78,udp,0.006979,BENIGN
128,1500,tcp,6.9e-05,BENIGN
245,1500,tcp,0.000245,BENIGN
118,2960,tcp,0.000104,BENIGN
128,79,tcp,0.000194,BENIGN
128,77,udp,0.00012,BENIGN
128,71,tcp,1.6e-05,BENIGN
128,61,udp,2.2e-05,BENIGN
118,2960,tcp,0.000193,BENIGN
64,76,udp,0.012579,BENIGN
64,78,udp,7e-06,BENIGN
128,73,udp,0.000267,BENIGN
128,64,udp,3e-06,BENIGN
64,7255,tcp,0.00016,BENIGN
128,75,udp,0.000132,BENIGN
128,129,udp,0.000208,BENIGN
128,67,udp,4.9e-05,BENIGN
128,69,udp,0.000147,BENIGN
64,740,tcp,0.000124,BENIGN
57,2960,tcp,0.000194,BENIGN
57,1500,tcp,2e-06,BENIGN
128,75,udp,0.000305,BENIGN
128,75,udp,0.00021,BENIGN
64,78,udp,2e-06,BENIGN
64,79,udp,5.8e-05,BENIGN
64,76,udp,0.006079,BENIGN
48,266,tcp,1.2e-05,BENIGN
64,76,udp,0.010392,BENIGN
237,89,tcp,0.011206,BENIGN
128,598,tcp,2.8e-05,BENIGN
128,73,udp,5.4e-05,BENIGN
64,76,tcp,4.9e-05,BENIGN
128,84,udp,1e-06,BENIGN
64,60,udp,0.002944,BENIGN
236,2960,tcp,0.000214,BENIGN
128,72,udp,4.7e-05,BENIGN
128,84,udp,0.000226,BENIGN
255,65,udp,4e-06,BENIGN
57,1500,tcp,0.000218,BENIGN
64,78,udp,2e-06,BENIGN
118,1500,tcp,0.000219,BENIGN
255,115,udp,0.018714,BENIGN
64,3385,tcp,0.000102,BENIGN
118,2960,tcp,0.000193,BENIGN
128,263,tcp,0.000133,BENIGN
118,1500,tcp,0.000183,BENIGN
128,69,udp,0.000215,BENIGN
128,92,udp,2.5e-05,BENIGN
57,1500,tcp,0.000201,BENIGN
128,78,udp,0.163494,BENIGN
128,75,udp,5.8e-05,BENIGN
64,1500,tcp,1e-05,BENIGN
52,1470,tcp,0.000203,BENIGN
118,2960,tcp,6.5e-05,BENIGN
128,77,udp,0.000165,BENIGN
64,78,udp,1e-06,BENIGN
64,78,udp,2e-06,BENIGN
128,85,udp,0.000139,BENIGN
128,83,udp,0.000148,BENIGN
128,261,tcp,0.000293,BENIGN
64,77,tcp,0.038153,BENIGN
128,509,tcp,0.035112,BENIGN
64,62,udp,3e-06,BENIGN
64,98,tcp,0.003781,BENIGN
64,76,udp,0.009415,BENIGN
128,67,udp,0.000188,BENIGN
128,88,udp,0.000269,BENIGN
128,79,udp,0.000164,BENIGN
64,61,udp,3e-06,BENIGN
64,76,udp,3e-06,BENIGN
64,76,udp,0.744289,BENIGN
128,82,udp,0.000251,BENIGN
128,104,udp,1.9e-05,BENIGN
128,69,udp,9e-06,BENIGN
64,76,udp,0.027301,BENIGN
128,86,udp,0.000223,BENIGN
128,74,udp,0.000271,BENIGN
64,355,tcp,2.3e-05,BENIGN
64,900,tcp,2e-06,BENIGN
128,88,udp,0.00017,BENIGN
128,148,tcp,1.1e-05,BENIGN
128,78,udp,0.000172,BENIGN
64,159,tcp,0.004215,BENIGN
51,1500,tcp,7.9e-05,BENIGN
128,78,udp,0.000172,BENIGN
128,58,udp,0.019614,BENIGN
128,72,udp,0.000159,BENIGN
128,85,udp,4.5e-05,BENIGN
118,2960,tcp,7.8e-05,BENIGN
118,2960,tcp,4.5e-05,BENIGN
128,77,udp,4e-05,BENIGN
245,1500,tcp,0.000655,BENIGN
128,74,udp,4e-06,BENIGN
128,89,udp,0.000121,BENIGN
55,282,tcp,0.000366,BENIGN
245,585,tcp,6e-06,BENIGN
50,1500,tcp,1e-06,BENIGN
56,377,tcp,2.3e-05,BENIGN
128,81,udp,0.000152,BENIGN
64,455,tcp,0.048608,BENIGN
64,76,udp,3e-06,BENIGN
64,549,tcp,0.000116,BENIGN
52,1470,tcp,0.000195,BENIGN
128,86,tcp,0.00062,BENIGN
128,66,udp,0.000159,BENIGN
64,648,tcp,0.019443,BENIGN
128,74,udp,3.8e-05,BENIGN
128,80,udp,0.000125,BENIGN
64,76,udp,0.006614,BENIGN
234,1523,tcp,0.000209,BENIGN
128,80,udp,0.000184,BENIGN
64,76,udp,0.030421,BENIGN
128,74,udp,0.000164,BENIGN
53,2960,tcp,0.000194,BENIGN
128,72,udp,6.8e-05,BENIGN
128,61,udp,0.000634,BENIGN
128,424,tcp,0.001069,BENIGN
128,81,udp,3.4e-05,BENIGN
64,76,udp,6e-06,BENIGN
118,2960,tcp,0.000128,BENIGN
54,1469,tcp,0.015551,BENIGN
128,583,tcp,0.000192,BENIGN
52,353,tcp,0.001525,BENIGN
64,133,tcp,0.01217,BENIGN
128,86,udp,0.000188,BENIGN
64,457,tcp,0.001354,BENIGN
64,83,tcp,7e-05,BENIGN
128,84,udp,0.000183,BENIGN
128,73,udp,0.000146,BENIGN
55,2720,tcp,0.000113,BENIGN
118,2960,tcp,8e-06,BENIGN
64,76,udp,0.013653,BENIGN
128,68,udp,0.000116,BENIGN
128,70,udp,0.000143,BENIGN
128,78,udp,0.027459,BENIGN
128,81,udp,0.000127,BENIGN
64,76,udp,0.010939,BENIGN
128,82,udp,3.2e-05,BENIGN
245,882,tcp,0.000121,BENIGN
51,1500,tcp,0.000191,BENIGN
128,84,udp,3.9e-05,BENIGN
128,57,udp,3e-06,BENIGN
128,245,tcp,0.000107,BENIGN
55,910,tcp,9.8e-05,BENIGN
244,1453,tcp,0.001546,BENIGN
64,988,tcp,4e-06,BENIGN
128,60,udp,0.004072,BENIGN
245,1500,tcp,0.000216,BENIGN
54,1500,tcp,5.7e-05,BENIGN
237,1495,tcp,0.000263,BENIGN
128,84,udp,9.3e-05,BENIGN
128,98,udp,0.000152,BENIGN
128,72,udp,9.4e-05,BENIGN
64,76,udp,0.006426,BENIGN
128,74,udp,0.000129,BENIGN
64,78,udp,6e-06,BENIGN
64,76,udp,0.008799,BENIGN
128,64,udp,4.8e-05,BENIGN
128,83,udp,0.000147,BENIGN
118,1500,tcp,0.000192,BENIGN
57,1500,tcp,2e-06,BENIGN
241,1500,tcp,0.000241,BENIGN
128,5880,tcp,5.1e-05,BENIGN
64,455,tcp,3e-06,BENIGN
57,606,tcp,0.000267,BENIGN
64,105,tcp,3e-06,BENIGN
241,1500,tcp,0.000221,BENIGN
128,84,udp,0.000188,BENIGN
54,2960,tcp,5.3e-05,BENIGN
118,2960,tcp,0.000269,BENIGN
64,71,tcp,0.000268,BENIGN
51,1500,tcp,3.4e-05,BENIGN
